id,index,district_x,name_x,address,phone,original_name_x,Match,rowid,school,district_y,street,original_name_y,simple_name,district,participating,duped,score
260,260,LAUSD,1717-arlington-heights-elementary,1717 7th Ave,323-735-1021,Arlington Heights Elementary,"[('1717 arlington heights elementary', 100.0, '1717-arlington-heights-elementary')]",1336,Arlington Heights Elementary(LAUSD),Los Angeles Unified,1717 Seventh Ave.,Arlington Heights Elementary(LAUSD),1717-arlington-heights-elementary,,True,False, 100.0
261,261,LAUSD,1717-arlington-heights-elementary,1717 7th Av,323-735-1021,Arlington Heights Elementary DL Two-Way Im Spanish,"[('1717 arlington heights elementary', 90.0, '1717-arlington-heights-elementary')]",1336,Arlington Heights Elementary(LAUSD),Los Angeles Unified,1717 Seventh Ave.,Arlington Heights Elementary(LAUSD),1717-arlington-heights-elementary,,True,False, 90.0
262,262,LAUSD,11530-arminta-street-elementary,11530 Strathern St,818-765-5911,Arminta Street Elementary,"[('11530 arminta street elementary', 100.0, '11530-arminta-street-elementary')]",1337,Arminta Street Elementary(LAUSD),Los Angeles Unified,11530 Strathern St.,Arminta Street Elementary(LAUSD),11530-arminta-street-elementary,,True,False, 100.0
263,263,LAUSD,4805-arroyo-seco-museum-science,4805 Sycamore Terr,323-254-5141,Arroyo Seco Museum Science Magnet,"[('4805 arroyo seco museum science', 95.0, '4805-arroyo-seco-museum-science')]",1347,Arroyo Seco Museum Science(LAUSD),Los Angeles Unified,4805 Sycamore Terr.,Arroyo Seco Museum Science(LAUSD),4805-arroyo-seco-museum-science,,True,False, 95.0
264,264,LAUSD,1447-ascot-avenue-elementary,1447 E 45th St,323-235-3178,Ascot Avenue Elementary,"[('1447 ascot avenue elementary', 100.0, '1447-ascot-avenue-elementary')]",2198,Ascot Avenue Elementary(LAUSD),Los Angeles Unified,1447 East 45th St.,Ascot Avenue Elementary(LAUSD),1447-ascot-avenue-elementary,,True,False, 100.0
265,265,LAUSD,3271-atwater-avenue-elementary,3271 Silver Lake Blvd,323-665-5941,Atwater Avenue Elementary,"[('3271 atwater avenue elementary', 100.0, '3271-atwater-avenue-elementary')]",1350,Atwater Avenue Elementary(LAUSD),Los Angeles Unified,3271 Silver Lake Blvd.,Atwater Avenue Elementary(LAUSD),3271-atwater-avenue-elementary,,True,False, 100.0
266,266,LAUSD,3271-atwater-avenue-elementary,3271 Silver Lake Blvd,323-665-5941,Atwater Avenue Elementary DL Two-Way Im Spanish,"[('3271 atwater avenue elementary', 90.0, '3271-atwater-avenue-elementary')]",1350,Atwater Avenue Elementary(LAUSD),Los Angeles Unified,3271 Silver Lake Blvd.,Atwater Avenue Elementary(LAUSD),3271-atwater-avenue-elementary,,True,False, 90.0
267,267,LAUSD,4120-audubon-middle,4120 11th Ave,323-290-6300,Audubon Middle School,"[('4120 audubon middle', 95.0, '4120-audubon-middle')]",1351,Audubon Middle(LAUSD),Los Angeles Unified,4120 11th Ave.,Audubon Middle(LAUSD),4120-audubon-middle,,True,False, 95.0
268,268,LAUSD,4120-audubon-middle,4120 11th Ave,323-290-6300,Audubon Middle School Gifted Magnet,"[('4120 audubon middle', 90.0, '4120-audubon-middle')]",1351,Audubon Middle(LAUSD),Los Angeles Unified,4120 11th Ave.,Audubon Middle(LAUSD),4120-audubon-middle,,True,False, 90.0
269,269,LAUSD,825-augustus-f-hawkins-high-a-critical-design-and-gaming,825 W 60th St,323-789-1282,Augustus F Hawkins SH - Critical Design and Gaming School,"[('825 augustus f hawkins high a critical design and gaming', 88.88888888888889, '825-augustus-f-hawkins-high-a-critical-design-and-gaming')]",1352,Augustus F. Hawkins High A Critical Design and Gaming(LAUSD),Los Angeles Unified,825 West 60th St.,Augustus F. Hawkins High A Critical Design and Gaming(LAUSD),825-augustus-f-hawkins-high-a-critical-design-and-gaming,,True,False, 88.88888888888889
270,270,LAUSD,1050-aurora-elementary,1050 E 52nd Pl,323-238-1500,Aurora Elementary,"[('1050 aurora elementary', 100.0, '1050-aurora-elementary')]",2229,Aurora Elementary(LAUSD),Los Angeles Unified,1050 East 52nd Pl.,Aurora Elementary(LAUSD),1050-aurora-elementary,,True,False, 100.0
271,271,LAUSD,1050-aurora-elementary,1050 E 52nd Pl,323-238-1500,Aurora Elementary DL Two-Way Im Spanish,"[('1050 aurora elementary', 90.0, '1050-aurora-elementary')]",2229,Aurora Elementary(LAUSD),Los Angeles Unified,1050 East 52nd Pl.,Aurora Elementary(LAUSD),1050-aurora-elementary,,True,False, 90.0
272,272,LAUSD,13940-avalon-gardens-elementary,13940 S San Pedro St,310-532-8540,Avalon Gardens Elementary,"[('13940 avalon gardens elementary', 100.0, '13940-avalon-gardens-elementary')]",2230,Avalon Gardens Elementary(LAUSD),Los Angeles Unified,13940 South San Pedro St.,Avalon Gardens Elementary(LAUSD),13940-avalon-gardens-elementary,,True,False, 100.0
273,273,LAUSD,17020-balboa-gifted/high-ability-magnet-elementary,17020 Labrador St,818-349-4801,Balboa Elementary Gifted/Highly Gifted/High Ability Magnet,"[('17020 balboa gifted high ability magnet elementary', 95.0, '17020-balboa-gifted/high-ability-magnet-elementary')]",2233,Balboa Gifted/High Ability Magnet Elementary(LAUSD),Los Angeles Unified,17020 Labrador St.,Balboa Gifted/High Ability Magnet Elementary(LAUSD),17020-balboa-gifted/high-ability-magnet-elementary,,True,False, 95.0
274,274,LAUSD,5421-baldwin-hills-elementary,5421 Rodeo Rd,323-937-7223,Baldwin Hills Elementary,"[('5421 baldwin hills elementary', 100.0, '5421-baldwin-hills-elementary')]",2234,Baldwin Hills Elementary(LAUSD),Los Angeles Unified,5421 Rodeo Rd.,Baldwin Hills Elementary(LAUSD),5421-baldwin-hills-elementary,,True,False, 100.0
275,275,LAUSD,5421-baldwin-hills-elementary,5421 Rodeo Rd,323-937-7223,Baldwin Hills Elementary Gifted Magnet,"[('5421 baldwin hills elementary', 95.0, '5421-baldwin-hills-elementary')]",2234,Baldwin Hills Elementary(LAUSD),Los Angeles Unified,5421 Rodeo Rd.,Baldwin Hills Elementary(LAUSD),5421-baldwin-hills-elementary,,True,False, 95.0
276,276,LAUSD,425-bandini-street-elementary,425 N Bandini St,310-832-4593,Bandini Street Elementary,"[('425 bandini street elementary', 100.0, '425-bandini-street-elementary')]",2235,Bandini Street Elementary(LAUSD),Los Angeles Unified,425 North Bandini St.,Bandini Street Elementary(LAUSD),425-bandini-street-elementary,,True,False, 100.0
277,277,LAUSD,425-bandini-street-elementary,425 N Bandini St,310-832-4593,Bandini Street Elementary DL Two-Way Im Spanish,"[('425 bandini street elementary', 90.0, '425-bandini-street-elementary')]",2235,Bandini Street Elementary(LAUSD),Los Angeles Unified,425 North Bandini St.,Bandini Street Elementary(LAUSD),425-bandini-street-elementary,,True,False, 90.0
278,278,LAUSD,,1700 W 46th St,323-421-1700,Barack Obama Global Prep Academy STEAM Magnet,[],0,Barack Obama Global Prep Academy STEAM Magnet (LAUSD),,,,,LAUSD,True,False,
279,279,LAUSD,1700-barack-obama-global-preparation-academy,1700 W 46th St,323-421-1700,Barack Obama Global Preparation Academy,"[('1700 barack obama global preparation academy', 100.0, '1700-barack-obama-global-preparation-academy')]",2236,Barack Obama Global Preparation Academy(LAUSD),Los Angeles Unified,1700 West 46th St.,Barack Obama Global Preparation Academy(LAUSD),1700-barack-obama-global-preparation-academy,,True,False, 100.0
280,280,LAUSD,423-barton-hill-elementary,423 N Pacific Ave,310-547-2471,Barton Hill Elementary,"[('423 barton hill elementary', 100.0, '423-barton-hill-elementary')]",2237,Barton Hill Elementary(LAUSD),Los Angeles Unified,423 North Pacific Ave.,Barton Hill Elementary(LAUSD),423-barton-hill-elementary,,True,False, 100.0
281,281,LAUSD,423-barton-hill-elementary,423 N Pacific Ave,310-547-2471,Barton Hill Elementary Maritime STEAM Magnet,"[('423 barton hill elementary', 90.0, '423-barton-hill-elementary')]",2237,Barton Hill Elementary(LAUSD),Los Angeles Unified,423 North Pacific Ave.,Barton Hill Elementary(LAUSD),423-barton-hill-elementary,,True,False, 90.0
282,282,LAUSD,,15756 Bassett St,818-782-1340,Bassett St Elementary Media Arts/ Technology Magnet,[],0,Bassett St Elementary Media Arts/ Technology Magnet (LAUSD),,,,,LAUSD,True,False,
283,283,LAUSD,15756-bassett-street-elementary,15756 Bassett St,818-782-1340,Bassett Street Elementary,"[('15756 bassett street elementary', 100.0, '15756-bassett-street-elementary')]",2238,Bassett Street Elementary(LAUSD),Los Angeles Unified,15756 Bassett St.,Bassett Street Elementary(LAUSD),15756-bassett-street-elementary,,True,False, 100.0
284,284,LAUSD,15756-bassett-street-elementary,15756 Bassett St,818-782-1340,Bassett Street Elementary DL Two-Way Im Spanish,"[('15756 bassett street elementary', 90.0, '15756-bassett-street-elementary')]",2238,Bassett Street Elementary(LAUSD),Los Angeles Unified,15756 Bassett St.,Bassett Street Elementary(LAUSD),15756-bassett-street-elementary,,True,False, 90.0
285,285,LAUSD,9757-beachy-avenue-elementary,9757 Beachy Ave,818-899-0241,Beachy Avenue Elementary,"[('9757 beachy avenue elementary', 100.0, '9757-beachy-avenue-elementary')]",2239,Beachy Avenue Elementary(LAUSD),Los Angeles Unified,9757 Beachy Ave.,Beachy Avenue Elementary(LAUSD),9757-beachy-avenue-elementary,,True,False, 100.0
286,286,LAUSD,19130-beckford-charter-for-enriched-studies,19130 Tulsa St,818-360-1924,Beckford Charter for Enriched Studies,"[('19130 beckford charter for enriched studies', 100.0, '19130-beckford-charter-for-enriched-studies')]",1393,Beckford Charter for Enriched Studies(LAUSD),Los Angeles Unified,19130 Tulsa St.,Beckford Charter for Enriched Studies(LAUSD),19130-beckford-charter-for-enriched-studies,,True,False, 100.0
287,287,LAUSD,3711-beethoven-street-elementary,3711 Beethoven St,310-398-6286,Beethoven Street Elementary,"[('3711 beethoven street elementary', 100.0, '3711-beethoven-street-elementary')]",1394,Beethoven Street Elementary(LAUSD),Los Angeles Unified,3711 Beethoven St.,Beethoven Street Elementary(LAUSD),3711-beethoven-street-elementary,,True,False, 100.0
288,288,LAUSD,4328-bell-senior-high,4328 Bell Ave,323-832-4700,Bell Senior High,"[('4328 bell senior high', 100.0, '4328-bell-senior-high')]",1395,Bell Senior High(LAUSD),Los Angeles Unified,4328 Bell Ave.,Bell Senior High(LAUSD),4328-bell-senior-high,,True,False, 100.0
289,289,LAUSD,4328-bell-senior-high,4328 Bell Ave,323-832-4700,Bell Senior High Gifted Science/Tech/Eng/Math Magnet,"[('4328 bell senior high', 90.0, '4328-bell-senior-high')]",1395,Bell Senior High(LAUSD),Los Angeles Unified,4328 Bell Ave.,Bell Senior High(LAUSD),4328-bell-senior-high,,True,False, 90.0
290,290,LAUSD,6728-bellingham-elementary,6728 Bellingham Ave,818-759-0119,Bellingham Elementary,"[('6728 bellingham elementary', 100.0, '6728-bellingham-elementary')]",1396,Bellingham Elementary(LAUSD),Los Angeles Unified,6728 Bellingham Ave.,Bellingham Elementary(LAUSD),6728-bellingham-elementary,,True,False, 100.0
291,291,LAUSD,1575-belmont-senior-high,1575 W 2nd St,213-241-4300,Belmont Senior High,"[('1575 belmont senior high', 100.0, '1575-belmont-senior-high')]",1397,Belmont Senior High(LAUSD),Los Angeles Unified,1575 West 2nd St.,Belmont Senior High(LAUSD),1575-belmont-senior-high,,True,False, 100.0
292,292,LAUSD,3724-belvedere-elementary,3724 E First St,323-269-0345,Belvedere Elementary,"[('3724 belvedere elementary', 100.0, '3724-belvedere-elementary')]",1504,Belvedere Elementary(LAUSD),Los Angeles Unified,3724 East First St.,Belvedere Elementary(LAUSD),3724-belvedere-elementary,,True,False, 100.0
293,293,LAUSD,312-belvedere-middle,312 N Record Ave,323-266-5400,Belvedere Middle School,"[('312 belvedere middle', 95.0, '312-belvedere-middle')]",1505,Belvedere Middle(LAUSD),Los Angeles Unified,312 North Record Ave.,Belvedere Middle(LAUSD),312-belvedere-middle,,True,False, 95.0
294,294,LAUSD,312-belvedere-middle,312 N Record Ave,323-266-5468,Belvedere Middle School Media/Communications Magnet,"[('312 belvedere middle', 90.0, '312-belvedere-middle')]",1505,Belvedere Middle(LAUSD),Los Angeles Unified,312 North Record Ave.,Belvedere Middle(LAUSD),312-belvedere-middle,,True,False, 90.0
295,295,LAUSD,312-belvedere-middle,312 N Record Ave,323-266-5400,Belvedere Middle School STEAM Magnet,"[('312 belvedere middle', 90.0, '312-belvedere-middle')]",1505,Belvedere Middle(LAUSD),Los Angeles Unified,312 North Record Ave.,Belvedere Middle(LAUSD),312-belvedere-middle,,True,False, 90.0
296,296,LAUSD,14024-benjamin-banneker-career-and-transition-center,14024 S San Pedro St,310-324-6668,Benjamin Banneker Career and Transition Center,"[('14024 benjamin banneker career and transition center', 100.0, '14024-benjamin-banneker-career-and-transition-center')]",1506,Benjamin Banneker Career and Transition Center(LAUSD),Los Angeles Unified,14024 South San Pedro St.,Benjamin Banneker Career and Transition Center(LAUSD),14024-benjamin-banneker-career-and-transition-center,,True,False, 100.0
297,297,LAUSD,,820 N Avenue 54,323-550-2000,Benjamin Franklin High School,[],0,Benjamin Franklin High School (LAUSD),,,,,LAUSD,True,False,
298,298,LAUSD,,820 N Avenue 54,323-550-2000,Benjamin Franklin High School Dual Language Academy Magnet,[],0,Benjamin Franklin High School Dual Language Academy Magnet (LAUSD),,,,,LAUSD,True,False,
299,299,LAUSD,,820 N Avenue 54,323-550-2078,Benjamin Franklin High School Science/Tech/Math Magnet,[],0,Benjamin Franklin High School Science/Tech/Math Magnet (LAUSD),,,,,LAUSD,True,False,
300,300,LAUSD,1157-berendo-middle,1157 S Berendo St,213-739-5600,Berendo Middle School,"[('1157 berendo middle', 95.0, '1157-berendo-middle')]",1508,Berendo Middle(LAUSD),Los Angeles Unified,1157 South Berendo St.,Berendo Middle(LAUSD),1157-berendo-middle,,True,False, 95.0
301,301,LAUSD,10952-berenece-carlson-home-hospital,10952 Whipple St,818-509-8759,Berenece Carlson Home Hospital School,"[('10952 berenece carlson home hospital', 95.0, '10952-berenece-carlson-home-hospital')]",1509,Berenece Carlson Home Hospital(LAUSD),Los Angeles Unified,10952 Whipple St.,Berenece Carlson Home Hospital(LAUSD),10952-berenece-carlson-home-hospital,,True,False, 95.0
302,302,LAUSD,10952-berenece-carlson-home-hospital,10952 Whipple St,818-509-8759,Berenece Carlson Home School,"[('10952 berenece carlson home hospital', 88.57142857142857, '10952-berenece-carlson-home-hospital')]",1509,Berenece Carlson Home Hospital(LAUSD),Los Angeles Unified,10952 Whipple St.,Berenece Carlson Home Hospital(LAUSD),10952-berenece-carlson-home-hospital,,True,False, 88.57142857142857
303,303,LAUSD,7021-bertrand-avenue-elementary,7021 Bertrand Ave,818-342-1103,Bertrand Avenue Elementary,"[('7021 bertrand avenue elementary', 100.0, '7021-bertrand-avenue-elementary')]",1556,Bertrand Avenue Elementary(LAUSD),Los Angeles Unified,7021 Bertrand Ave.,Bertrand Avenue Elementary(LAUSD),7021-bertrand-avenue-elementary,,True,False, 100.0
304,304,LAUSD,1321-betty-plasencia-elementary,1321 Cortez St,213-250-7450,Betty Plasencia Elementary,"[('1321 betty plasencia elementary', 100.0, '1321-betty-plasencia-elementary')]",1559,Betty Plasencia Elementary(LAUSD),Los Angeles Unified,1321 Cortez St.,Betty Plasencia Elementary(LAUSD),1321-betty-plasencia-elementary,,True,False, 100.0
305,305,LAUSD,1321-betty-plasencia-elementary,1321 Cortez St,213-250-7450,Betty Plasencia Elementary STEAM Magnet,"[('1321 betty plasencia elementary', 95.0, '1321-betty-plasencia-elementary')]",1559,Betty Plasencia Elementary(LAUSD),Los Angeles Unified,1321 Cortez St.,Betty Plasencia Elementary(LAUSD),1321-betty-plasencia-elementary,,True,False, 95.0
306,306,LAUSD,1771-birdielee-v-bright-elementary,1771 W 36th St,323-733-1178,Birdielee V Bright Elementary,"[('1771 birdielee v bright elementary', 100.0, '1771-birdielee-v-bright-elementary')]",1561,Birdielee V. Bright Elementary(LAUSD),Los Angeles Unified,1771 West 36th St.,Birdielee V. Bright Elementary(LAUSD),1771-birdielee-v-bright-elementary,,True,False, 100.0
307,307,LAUSD,18730-blythe-street-elementary,18730 Blythe St,818-345-4066,Blythe Street Elementary,"[('18730 blythe street elementary', 100.0, '18730-blythe-street-elementary')]",1221,Blythe Street Elementary(LAUSD),Los Angeles Unified,18730 Blythe St.,Blythe Street Elementary(LAUSD),18730-blythe-street-elementary,,True,False, 100.0
308,308,LAUSD,21929-bonita-street-elementary,21929 Bonita St,310-834-8588,Bonita Street Elementary,"[('21929 bonita street elementary', 100.0, '21929-bonita-street-elementary')]",1223,Bonita Street Elementary(LAUSD),Los Angeles Unified,21929 Bonita St.,Bonita Street Elementary(LAUSD),21929-bonita-street-elementary,,True,False, 100.0
309,309,LAUSD,544-boyle-heights-continuation,544 S Mathews St,323-264-8070,Boyle Heights Continuation High,"[('544 boyle heights continuation', 95.0, '544-boyle-heights-continuation')]",1224,Boyle Heights Continuation(LAUSD),Los Angeles Unified,544 South Mathews St.,Boyle Heights Continuation(LAUSD),544-boyle-heights-continuation,,True,False, 95.0
310,310,LAUSD,,2550 E 6th St,323-268-1031,Boyle Heights HS STEM Magnet,[],0,Boyle Heights HS STEM Magnet (LAUSD),,,,,LAUSD,True,False,
311,311,LAUSD,1511-boys-academic-leadership-academy,1511 W 110th St,323-820-6231,Boys Academic Leadership Academy,"[('1511 boys academic leadership academy', 100.0, '1511-boys-academic-leadership-academy')]",1226,Boys Academic Leadership Academy(LAUSD),Los Angeles Unified,1511 West 110th St.,Boys Academic Leadership Academy(LAUSD),1511-boys-academic-leadership-academy,,True,False, 100.0
312,312,LAUSD,4711-braddock-drive-elementary,4711 Inglewood Blvd,310-391-6707,Braddock Drive Elementary,"[('4711 braddock drive elementary', 100.0, '4711-braddock-drive-elementary')]",1227,Braddock Drive Elementary(LAUSD),Los Angeles Unified,4711 Inglewood Blvd.,Braddock Drive Elementary(LAUSD),4711-braddock-drive-elementary,,True,False, 100.0
313,313,LAUSD,4711-braddock-drive-elementary,4711 Inglewood Blvd,310-391-6707,Braddock Drive Elementary DL Two-Way Im Mandarin,"[('4711 braddock drive elementary', 90.0, '4711-braddock-drive-elementary')]",1227,Braddock Drive Elementary(LAUSD),Los Angeles Unified,4711 Inglewood Blvd.,Braddock Drive Elementary(LAUSD),4711-braddock-drive-elementary,,True,False, 90.0
314,314,LAUSD,4711-braddock-drive-elementary,4711 Inglewood Blvd,310-915-5977,Braddock Drive Elementary Gifted Magnet,"[('4711 braddock drive elementary', 95.0, '4711-braddock-drive-elementary')]",1227,Braddock Drive Elementary(LAUSD),Los Angeles Unified,4711 Inglewood Blvd.,Braddock Drive Elementary(LAUSD),4711-braddock-drive-elementary,,True,False, 95.0
315,315,LAUSD,11407-brainard-elementary,11407 Brainard Ave,818-899-5241,Brainard Elementary,"[('11407 brainard elementary', 100.0, '11407-brainard-elementary')]",1228,Brainard Elementary(LAUSD),Los Angeles Unified,11407 Brainard Ave.,Brainard Elementary(LAUSD),11407-brainard-elementary,,True,False, 100.0
316,316,LAUSD,2226-breed-street-elementary,2226 E Third St,323-269-4343,Breed Street Elementary,"[('2226 breed street elementary', 100.0, '2226-breed-street-elementary')]",1231,Breed Street Elementary(LAUSD),Los Angeles Unified,2226 East Third St.,Breed Street Elementary(LAUSD),2226-breed-street-elementary,,True,False, 100.0
317,317,LAUSD,,740 Gretna Green Way,310-826-5631,Brentwood Elementary Science Magnet,[],0,Brentwood Elementary Science Magnet (LAUSD),,,,,LAUSD,True,False,
318,318,LAUSD,9301-bret-harte-preparatory-middle,9301 S Hoover St,323-242-5400,Bret Harte Preparatory Middle School,"[('9301 bret harte preparatory middle', 95.0, '9301-bret-harte-preparatory-middle')]",1233,Bret Harte Preparatory Middle(LAUSD),Los Angeles Unified,9301 South Hoover St.,Bret Harte Preparatory Middle(LAUSD),9301-bret-harte-preparatory-middle,,True,False, 95.0
319,319,LAUSD,605-bridge-street-elementary,605 N Boyle Ave,323-222-0165,Bridge Street Elementary,"[('605 bridge street elementary', 100.0, '605-bridge-street-elementary')]",1234,Bridge Street Elementary(LAUSD),Los Angeles Unified,605 North Boyle Ave.,Bridge Street Elementary(LAUSD),605-bridge-street-elementary,,True,False, 100.0
320,320,LAUSD,24815-broad-avenue-elementary-,24815 Broad Ave,310-835-3118,Broad Avenue Elementary,"[('24815 broad avenue elementary', 100.0, '24815-broad-avenue-elementary-')]",1748,Broad Avenue Elementary (LAUSD),Los Angeles Unified,24815 Broad Ave.,Broad Avenue Elementary (LAUSD),24815-broad-avenue-elementary-,,True,False, 100.0
321,321,LAUSD,24815-broad-avenue-elementary-,24815 Broad Ave,310-835-3118,Broad Avenue Elementary DL Two-Way Im Spanish,"[('24815 broad avenue elementary', 90.0, '24815-broad-avenue-elementary-')]",1748,Broad Avenue Elementary (LAUSD),Los Angeles Unified,24815 Broad Ave.,Broad Avenue Elementary (LAUSD),24815-broad-avenue-elementary-,,True,False, 90.0
322,322,LAUSD,19424-broadacres-avenue-elementary-,19424 S Broadacres Ave,310-537-1980,Broadacres Avenue Elementary,"[('19424 broadacres avenue elementary', 100.0, '19424-broadacres-avenue-elementary-')]",1749,Broadacres Avenue Elementary (LAUSD),Los Angeles Unified,19424 South Broadacres Ave.,Broadacres Avenue Elementary (LAUSD),19424-broadacres-avenue-elementary-,,True,False, 100.0
323,323,LAUSD,19424-broadacres-avenue-elementary-,19424 S Broadacres Ave,310-537-1980,Broadacres Avenue Elementary Visual/Performing Arts Magnet,"[('19424 broadacres avenue elementary', 90.0, '19424-broadacres-avenue-elementary-')]",1749,Broadacres Avenue Elementary (LAUSD),Los Angeles Unified,19424 South Broadacres Ave.,Broadacres Avenue Elementary (LAUSD),19424-broadacres-avenue-elementary-,,True,False, 90.0
324,324,LAUSD,1015-broadway-elementary-,1015 Lincoln Blvd,310-392-4944,Broadway Elementary,"[('1015 broadway elementary', 100.0, '1015-broadway-elementary-')]",1750,Broadway Elementary (LAUSD),Los Angeles Unified,1015 Lincoln Blvd.,Broadway Elementary (LAUSD),1015-broadway-elementary-,,True,False, 100.0
325,325,LAUSD,1015-broadway-elementary-,1015 Lincoln Blvd,310-392-4944,Broadway Elementary DL Two-Way Im Mandarin,"[('1015 broadway elementary', 90.0, '1015-broadway-elementary-')]",1750,Broadway Elementary (LAUSD),Los Angeles Unified,1015 Lincoln Blvd.,Broadway Elementary (LAUSD),1015-broadway-elementary-,,True,False, 90.0
326,326,LAUSD,1015-broadway-elementary-,1015 Lincoln Blvd,310-392-4944,Broadway Elementary DL Two-Way Im Spanish,"[('1015 broadway elementary', 90.0, '1015-broadway-elementary-')]",1750,Broadway Elementary (LAUSD),Los Angeles Unified,1015 Lincoln Blvd.,Broadway Elementary (LAUSD),1015-broadway-elementary-,,True,False, 90.0
327,327,LAUSD,1309-brockton-avenue-elementary-,1309 Armacost Ave,310-479-6090,Brockton Avenue Elementary,"[('1309 brockton avenue elementary', 100.0, '1309-brockton-avenue-elementary-')]",1751,Brockton Avenue Elementary (LAUSD),Los Angeles Unified,1309 Armacost Ave.,Brockton Avenue Elementary (LAUSD),1309-brockton-avenue-elementary-,,True,False, 100.0
328,328,LAUSD,4620-brooklyn-avenue-elementary-,4620 Cesar Chavez Ave,323-269-8161,Brooklyn Avenue Elementary,"[('4620 brooklyn avenue elementary', 100.0, '4620-brooklyn-avenue-elementary-')]",1752,Brooklyn Avenue Elementary (LAUSD),Los Angeles Unified,4620 Cesar Chavez Ave.,Brooklyn Avenue Elementary (LAUSD),4620-brooklyn-avenue-elementary-,,True,False, 100.0
329,329,LAUSD,4470-bryson-avenue-elementary-,4470 Missouri Ave,323-569-7141,Bryson Avenue Elementary,"[('4470 bryson avenue elementary', 100.0, '4470-bryson-avenue-elementary-')]",1753,Bryson Avenue Elementary (LAUSD),Los Angeles Unified,4470 Missouri Ave.,Bryson Avenue Elementary (LAUSD),4470-bryson-avenue-elementary-,,True,False, 100.0
330,330,LAUSD,4470-bryson-avenue-elementary-,4470 Missouri Ave,323-569-7141,Bryson Avenue Elementary Science/Tech/Math Magnet,"[('4470 bryson avenue elementary', 90.0, '4470-bryson-avenue-elementary-')]",1753,Bryson Avenue Elementary (LAUSD),Los Angeles Unified,4470 Missouri Ave.,Bryson Avenue Elementary (LAUSD),4470-bryson-avenue-elementary-,,True,False, 90.0
331,331,LAUSD,5024-buchanan-street-elementary,5024 Buchanan St,323-255-7118,Buchanan Street Elementary,"[('5024 buchanan street elementary', 100.0, '5024-buchanan-street-elementary')]",1765,Buchanan Street Elementary(LAUSD),Los Angeles Unified,5024 Buchanan St.,Buchanan Street Elementary(LAUSD),5024-buchanan-street-elementary,,True,False, 100.0
332,332,LAUSD,5024-buchanan-street-elementary,5024 Buchanan St,323-255-7118,Buchanan Street Elementary Dual Language Spanish,"[('5024 buchanan street elementary', 90.0, '5024-buchanan-street-elementary')]",1765,Buchanan Street Elementary(LAUSD),Los Angeles Unified,5024 Buchanan St.,Buchanan Street Elementary(LAUSD),5024-buchanan-street-elementary,,True,False, 90.0
333,333,LAUSD,5024-buchanan-street-elementary,5024 Buchanan St,323-256-0627,Buchanan Street Elementary Science/Tech/Math Magnet,"[('5024 buchanan street elementary', 90.0, '5024-buchanan-street-elementary')]",1765,Buchanan Street Elementary(LAUSD),Los Angeles Unified,5024 Buchanan St.,Buchanan Street Elementary(LAUSD),5024-buchanan-street-elementary,,True,False, 90.0
334,334,LAUSD,5940-budlong-avenue-elementary-,5940 S Budlong Ave,323-750-6955,Budlong Avenue Elementary,"[('5940 budlong avenue elementary', 100.0, '5940-budlong-avenue-elementary-')]",1756,Budlong Avenue Elementary (LAUSD),Los Angeles Unified,5940 South Budlong Ave.,Budlong Avenue Elementary (LAUSD),5940-budlong-avenue-elementary-,,True,False, 100.0
335,335,LAUSD,12215-burbank-boulevard-elementary-,12215 Albers St,818-763-6497,Burbank Boulevard Elementary,"[('12215 burbank boulevard elementary', 100.0, '12215-burbank-boulevard-elementary-')]",1757,Burbank Boulevard Elementary (LAUSD),Los Angeles Unified,12215 Albers St.,Burbank Boulevard Elementary (LAUSD),12215-burbank-boulevard-elementary-,,True,False, 100.0
336,336,LAUSD,12215-burbank-boulevard-elementary-,12215 Albers St,818-763-6497,Burbank Boulevard Elementary Gifted Global Learning Magnet,"[('12215 burbank boulevard elementary', 90.0, '12215-burbank-boulevard-elementary-')]",1757,Burbank Boulevard Elementary (LAUSD),Los Angeles Unified,12215 Albers St.,Burbank Boulevard Elementary (LAUSD),12215-burbank-boulevard-elementary-,,True,False, 90.0
337,337,LAUSD,8111-burton-street-elementary,8111 Calhoun Ave,818-908-1287,Burton Street Elementary,"[('8111 burton street elementary', 100.0, '8111-burton-street-elementary')]",1758,Burton Street Elementary(LAUSD),Los Angeles Unified,8111 Calhoun Ave.,Burton Street Elementary(LAUSD),8111-burton-street-elementary,,True,False, 100.0
338,338,LAUSD,5507-bushnell-way-elementary,5507 Bushnell Way,323-255-6511,Bushnell Way Elementary,"[('5507 bushnell way elementary', 100.0, '5507-bushnell-way-elementary')]",1759,Bushnell Way Elementary(LAUSD),Los Angeles Unified,5507 Bushnell Way,Bushnell Way Elementary(LAUSD),5507-bushnell-way-elementary,,True,False, 100.0
339,339,LAUSD,5507-bushnell-way-elementary,5507 Bushnell Way,323-255-6511,Bushnell Way Elementary DL Two-Way Im Spanish,"[('5507 bushnell way elementary', 90.0, '5507-bushnell-way-elementary')]",1759,Bushnell Way Elementary(LAUSD),Los Angeles Unified,5507 Bushnell Way,Bushnell Way Elementary(LAUSD),5507-bushnell-way-elementary,,True,False, 90.0
340,340,LAUSD,,732 S Cabrillo Ave,310-832-6446,Cabrillo Av El STEAM Magnet,[],0,Cabrillo Av El STEAM Magnet (LAUSD),,,,,LAUSD,True,False,
