,district,name,address,city,phone,email,original_name
359,LAUSD,canterbury-avenue-elementary-gifted-magnet-13670-montague-st-lausd,13670 Montague St,Arleta,818-892-1104,No Data,Canterbury Avenue Elementary Gifted Magnet
360,LAUSD,canyon-charter-elementary-421-entrada-dr-lausd,421 Entrada Dr,Santa Monica,310-454-7510,No Data,Canyon Charter Elementary
361,LAUSD,capistrano-avenue-elementary-8118-capistrano-ave-lausd,8118 Capistrano Ave,West Hills,818-883-8981,No Data,Capistrano Avenue Elementary
362,LAUSD,carlos-santana-arts-academy-9301-columbus-ave-lausd,9301 Columbus Ave,North Hills,818-920-4060,No Data,Carlos Santana Arts Academy
363,LAUSD,carlos-santana-arts-academy-dl-two-way-im-spanish-9301-columbus-ave-lausd,9301 Columbus Ave,North Hills,818-920-4060,No Data,Carlos Santana Arts Academy DL Two-Way Im Spanish
364,LAUSD,carmen-lomas-garza-primary-center-2750-e-hostetter-st-lausd,2750 E Hostetter St,Los Angeles,323-981-0270,No Data,Carmen Lomas Garza Primary Center
365,LAUSD,caroldale-learning-community-22424-caroldale-ave-lausd,22424 Caroldale Ave,Carson,310-320-8570,No Data,Caroldale Learning Community
366,LAUSD,carpenter-community-charter-3909-carpenter-ave-lausd,3909 Carpenter Ave,Studio City,818-761-4363,No Data,Carpenter Community Charter
367,LAUSD,carson-senior-high-22328-s-main-st-lausd,22328 S Main St,Carson,310-847-6000,No Data,Carson Senior High
368,LAUSD,carson-senior-high---academy-of-education-and-empowerment-22328-s-main-st-lausd,22328 S Main St,Carson,310-847-1455,No Data,Carson Senior High - Academy of Education and Empowerment
369,LAUSD,carson-senior-high---academy-of-medical-arts-22328-s-main-st-lausd,22328 S Main St,Carson,310-847-1465,No Data,Carson Senior High - Academy of Medical Arts
370,LAUSD,carson-senior-high-musical-ent/digital-art-magnet-22328-s-main-st-lausd,22328 S Main St,Carson,310-537-1980,,Carson Senior High Musical Ent/Digital Art Magnet
371,LAUSD,carson-street-elementary-161-e-carson-st-lausd,161 E Carson St,Carson,310-834-4508,No Data,Carson Street Elementary
372,LAUSD,carson-gore-academy-of-environmental-studies-3200-w-washington-blvd-lausd,3200 W Washington Blvd,Los Angeles,323-766-5500,No Data,Carson-Gore Academy of Environmental Studies
373,LAUSD,carson-gore-elementary-dl-two-way-im-spanish-3200-w-washington-bl-lausd,3200 W Washington Bl,Los Angeles,323-766-5500,,Carson-Gore Elementary DL Two-Way Im Spanish
374,LAUSD,carthay-elementary-of-environmental-studies-magnet-6351-w-olympic-blvd-lausd,6351 W Olympic Blvd,Los Angeles,323-935-8173,No Data,Carthay Elementary of Environmental Studies Magnet
375,LAUSD,castelar-street-elementary-840-yale-st-lausd,840 Yale St,Los Angeles,213-626-3674,No Data,Castelar Street Elementary
376,LAUSD,castelar-street-elementary-dl-two-way-im-mandarin-840-yale-st-lausd,840 Yale St,Los Angeles,213-626-3674,,Castelar Street Elementary DL Two-Way Im Mandarin
377,LAUSD,castle-heights-elementary-9755-cattaraugus-ave-lausd,9755 Cattaraugus Ave,Los Angeles,310-839-4528,No Data,Castle Heights Elementary
378,LAUSD,castle-heights-elementary-world-lang-im-spanish-9755-cattaraugus-ave-lausd,9755 Cattaraugus Ave,Los Angeles,310-839-4528,No Data,Castle Heights Elementary World Lang Im Spanish
379,LAUSD,castlebay-lane-charter-19010-castlebay-ln-lausd,19010 Castlebay Ln,Porter Ranch,818-360-1908,No Data,Castlebay Lane Charter
380,LAUSD,catskill-avenue-elementary-23536-catskill-ave-lausd,23536 Catskill Ave,Carson,310-834-7241,No Data,Catskill Avenue Elementary
381,LAUSD,catskill-avenue-elementary-dl-two-way-im-spanish-23536-catskill-ave-lausd,23536 Catskill Ave,Carson,310-834-7241,No Data,Catskill Avenue Elementary DL Two-Way Im Spanish
382,LAUSD,central-continuation-high-716-e-14th-st-lausd,716 E 14th St,Los Angeles,213-745-1901,No Data,Central Continuation High
383,LAUSD,century-park-elementary-10935-s-spinning-ave-lausd,10935 S Spinning Ave,Inglewood,323-757-8231,No Data,Century Park Elementary
384,LAUSD,cesar-chavez-elementary-school-5243-oakland-st-lausd,5243 Oakland St,Los Angeles,323-276-1440,No Data,Cesar Chavez Elementary School
385,LAUSD,cesar-e-chavez-learning-academy---academy-of-sci-exploration-1001-arroyo-ave-lausd,1001 Arroyo Ave,San Fernando,818-838-3926,No Data,Cesar E Chavez Learning Academy - Academy of Sci Exploration
386,LAUSD,cesar-e-chavez-learning-academy---arts/theatre/entertain-mag-1001-arroyo-ave-lausd,1001 Arroyo Ave,San Fernando,818-837-6428,No Data,Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag
387,LAUSD,cesar-e-chavez-learning-academy---social-jst-humanitas-acad-1001-arroyo-ave-lausd,1001 Arroyo Ave,San Fernando,818-838-3915,No Data,Cesar E Chavez Learning Academy - Social Jst Humanitas Acad
388,LAUSD,cesar-e-chavez-learning-academy---technology-preparatory-aca-1001-arroyo-ave-lausd,1001 Arroyo Ave,San Fernando,818-838-3946,No Data,Cesar E Chavez Learning Academy - Technology Preparatory Aca
389,LAUSD,chandler-elementary-14030-weddington-st-lausd,14030 Weddington St,Sherman Oaks,818-789-6173,No Data,Chandler Elementary
390,LAUSD,chapman-elementary-1947-marine-ave-lausd,1947 Marine Ave,Gardena,310-324-2275,No Data,Chapman Elementary
391,LAUSD,chapman-elementary-dl-two-way-im-mandarin-1947-marine-ave-lausd,1947 Marine Ave,Gardena,310-324-2275,,Chapman Elementary DL Two-Way Im Mandarin
392,LAUSD,charles-drew-middle-school-8511-compton-ave-lausd,8511 Compton Ave,Los Angeles,323-826-1700,No Data,Charles Drew Middle School
393,LAUSD,charles-drew-middle-school-gifted-magnet-8511-compton-ave-lausd,8511 Compton Ave,Los Angeles,323-826-1700,,Charles Drew Middle School Gifted Magnet
394,LAUSD,charles-drew-ms-university-pathways-public-service-academy-1415-firestone-blvd-lausd,1415 Firestone Blvd,Los Angeles,323-277-1800,No Data,Charles Drew MS University Pathways Public Service Academy
395,LAUSD,charles-h-kim-elementary-dl-one-way-im-korean-225-s-oxford-ave-lausd,225 S Oxford Ave,Los Angeles,213-368-5600,No Data,Charles H Kim Elementary DL One-Way Im Korean
396,LAUSD,charles-h-kim-elementary-dl-two-way-im-spanish-225-s-oxford-ave-lausd,225 S Oxford Ave,Los Angeles,213-368-5600,No Data,Charles H Kim Elementary DL Two-Way Im Spanish
397,LAUSD,charles-h-kim-elementary-school-225-s-oxford-ave-lausd,225 S Oxford Ave,Los Angeles,213-368-5600,No Data,Charles H Kim Elementary School
398,LAUSD,charles-leroy-lowman-special-ed-&-career-transition-center-12827-saticoy-st-lausd,12827 Saticoy St,North Hollywood,818-765-3404,No Data,Charles Leroy Lowman Special Ed & Career Transition Center
399,LAUSD,charles-maclay-middle-school-12540-pierce-ave-lausd,12540 Pierce Ave,Pacoima,818-686-3800,No Data,Charles Maclay Middle School
400,LAUSD,charles-w-barrett-elementary-419-w-98th-st-lausd,419 W 98th St,Los Angeles,323-756-1419,No Data,Charles W Barrett Elementary
401,LAUSD,charles-w-barrett-elementary-dl-two-way-im-spanish-419-w-98th-st-lausd,419 W 98th St,Los Angeles,323-756-1419,No Data,Charles W Barrett Elementary DL Two-Way Im Spanish
402,LAUSD,charles-white-elementary-school-2401-wilshire-blvd-lausd,2401 Wilshire Blvd,Los Angeles,213-487-9172,No Data,Charles White Elementary School
403,LAUSD,charnock-road-elementary-11133-charnock-rd-lausd,11133 Charnock Rd,Los Angeles,310-838-6110,No Data,Charnock Road Elementary
404,LAUSD,chase-street-elementary-14041-chase-st-lausd,14041 Chase St,Panorama City,818-830-4440,No Data,Chase Street Elementary
405,LAUSD,chatsworth-charter-high-school-10027-lurline-ave-lausd,10027 Lurline Ave,Chatsworth,818-678-3400,No Data,Chatsworth Charter High School
406,LAUSD,chatsworth-charter-high-school-gsteam-magnet-10027-lurline-ave-lausd,10027 Lurline Ave,Chatsworth,818-678-3400,No Data,Chatsworth Charter High School GSTEAM Magnet
407,LAUSD,chatsworth-park-elementary-up/cd-magnet-22005-devonshire-st-lausd,22005 Devonshire St,Chatsworth,818-341-1371,,Chatsworth Park Elementary UP/CD Magnet
408,LAUSD,cheremoya-avenue-elementary-6017-franklin-ave-lausd,6017 Franklin Ave,Los Angeles,323-464-1722,No Data,Cheremoya Avenue Elementary
409,LAUSD,chester-w-nimitz-middle-school-6021-carmelita-ave-lausd,6021 Carmelita Ave,Huntington Park,323-887-5400,No Data,Chester W Nimitz Middle School
410,LAUSD,chester-w-nimitz-middle-school-science/tech/math-magnet-6021-carmelita-ave-lausd,6021 Carmelita Ave,Huntington Park,323-887-5400,No Data,Chester W Nimitz Middle School Science/Tech/Math Magnet
411,LAUSD,cheviot-hills-continuation-high-9200-cattaraugus-ave-lausd,9200 Cattaraugus Ave,Los Angeles,310-838-8462,No Data,Cheviot Hills Continuation High
412,LAUSD,christopher-columbus-middle-school-22250-elkwood-st-lausd,22250 Elkwood St,Canoga Park,818-702-1200,No Data,Christopher Columbus Middle School
413,LAUSD,christopher-columbus-ms-medical/math/science-magnet-22250-elkwood-st-lausd,22250 Elkwood St,Canoga Park,818-702-1200,No Data,Christopher Columbus MS Medical/Math/Science Magnet
414,LAUSD,christopher-dena-elementary-1314-dacotah-st-lausd,1314 Dacotah St,Los Angeles,323-269-9222,No Data,Christopher Dena Elementary
415,LAUSD,cienega-elementary-2611-s-orange-dr-lausd,2611 S Orange Dr,Los Angeles,323-939-1138,No Data,Cienega Elementary
416,LAUSD,cienega-elementary-dl-two-way-im-spanish-2611-s-orange-dr-lausd,2611 S Orange Dr,Los Angeles,323-939-1138,No Data,Cienega Elementary DL Two-Way Im Spanish
417,LAUSD,cimarron-avenue-elementary-11559-cimarron-ave-lausd,11559 Cimarron Ave,Hawthorne,323-757-1226,No Data,Cimarron Avenue Elementary
418,LAUSD,cimarron-avenue-elementary-steam-magnet-11559-cimarron-ave-lausd,11559 Cimarron Ave,Hawthorne,323-757-1226,No Data,Cimarron Avenue Elementary STEAM Magnet
419,LAUSD,city-of-angels-independent-studies-221-s-eastman-ave-lausd,221 S Eastman Ave,Los Angeles,323-415-8350,No Data,City of Angels Independent Studies
420,LAUSD,city-of-angels-virtual-academy-221-s-eastman-ave-lausd,221 S Eastman Ave,Los Angeles,323-415-8350,No Data,City of Angels Virtual Academy
421,LAUSD,city-terrace-elementary-4350-city-terrace-dr-lausd,4350 City Terrace Dr,Los Angeles,323-269-0581,No Data,City Terrace Elementary
422,LAUSD,city-terrace-elementary-dl-two-way-im-mandarin-4350-city-terrace-dr-lausd,4350 City Terrace Dr,Los Angeles,323-269-0581,No Data,City Terrace Elementary DL Two-Way Im Mandarin
423,LAUSD,clifford-street-math-&-technology-magnet-2150-duane-st-lausd,2150 Duane St,Los Angeles,323-663-0474,No Data,Clifford Street Math & Technology Magnet
424,LAUSD,clover-avenue-elementary-11020-clover-ave-lausd,11020 Clover Ave,Los Angeles,310-479-7739,No Data,Clover Avenue Elementary
425,LAUSD,coeur-d-alene-avenue-elementary-810-coeur-d-alene-ave-lausd,810 Coeur D Alene Ave,Venice,310-821-7813,No Data,Coeur D Alene Avenue Elementary
426,LAUSD,cohasset-street-elementary-15810-saticoy-st-lausd,15810 Saticoy St,Lake Balboa,818-787-2113,No Data,Cohasset Street Elementary
427,LAUSD,cohasset-street-elementary-dl-one-way-im-spanish-15810-saticoy-st-lausd,15810 Saticoy St,Lake Balboa,818-787-2113,No Data,Cohasset Street Elementary DL One-Way Im Spanish
428,LAUSD,coldwater-canyon-dl-two-way-im-spanish-6850-coldwater-canyon-av-lausd,6850 Coldwater Canyon Av,North Hollywood,818-765-6634,,Coldwater Canyon DL Two-Way Im Spanish
429,LAUSD,coldwater-canyon-elementary-6850-coldwater-canyon-ave-lausd,6850 Coldwater Canyon Ave,North Hollywood,818-765-6634,No Data,Coldwater Canyon Elementary
430,LAUSD,colfax-charter-elementary-11724-addison-st-lausd,11724 Addison St,North Hollywood,818-761-5115,,Colfax Charter Elementary
431,LAUSD,coliseum-street-elementary-4400-coliseum-st-lausd,4400 Coliseum St,Los Angeles,323-294-5244,No Data,Coliseum Street Elementary
432,LAUSD,columbus-avenue-elementary-6700-columbus-ave-lausd,6700 Columbus Ave,Van Nuys,818-779-5440,No Data,Columbus Avenue Elementary
433,LAUSD,columbus-middle-school-media-arts/comm-magnet-22250-elkwood-st-lausd,22250 Elkwood St,Canoga Park,818-702-1200,,Columbus Middle School Media Arts/Comm Magnet
434,LAUSD,commonwealth-avenue-elementary-215-s-commonwealth-ave-lausd,215 S Commonwealth Ave,Los Angeles,213-384-2546,No Data,Commonwealth Avenue Elementary
435,LAUSD,commonwealth-avenue-elementary-gifted-arts/tech-magnet-215-s-commonwealth-ave-lausd,215 S Commonwealth Ave,Los Angeles,213-384-2546,No Data,Commonwealth Avenue Elementary Gifted Arts/Tech Magnet
436,LAUSD,community-elementary-magnet-charter-school-11301-bellagio-rd-lausd,11301 Bellagio Rd,Los Angeles,310-476-2281,No Data,Community Elementary Magnet Charter School
437,LAUSD,compton-avenue-elementary-1515-e-104th-st-lausd,1515 E 104th St,Los Angeles,323-564-5767,No Data,Compton Avenue Elementary
438,LAUSD,corona-avenue-elementary-3825-bell-ave-lausd,3825 Bell Ave,Bell,323-560-1323,No Data,Corona Avenue Elementary
439,LAUSD,cowan-avenue-elementary-7615-cowan-ave-lausd,7615 Cowan Ave,Los Angeles,310-645-1973,No Data,Cowan Avenue Elementary
440,LAUSD,cowan-avenue-elementary-dl-world-lang-im-spanish-7615-cowan-ave-lausd,7615 Cowan Ave,Los Angeles,310-645-1973,,Cowan Avenue Elementary DL World Lang Im Spanish
441,LAUSD,cowan-avenue-elementary-gifted-int-humanities-magnet-7615-cowan-ave-lausd,7615 Cowan Ave,Los Angeles,310-645-1973,,Cowan Avenue Elementary Gifted Int Humanities Magnet
442,LAUSD,crenshaw-magnets:-science-tech-engineer-math-&-medicine-5010-11th-ave-lausd,5010 11th Ave,Los Angeles,323-290-7800,No Data,Crenshaw Magnets: Science Tech Engineer Math & Medicine
443,LAUSD,crescent-heights-boulevard-elementary-lang-arts/soc-jstc-mag-1661-s-crescent-hts-blvd-lausd,1661 S Crescent Hts Blvd,Los Angeles,323-931-2761,No Data,Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag
444,LAUSD,crestwood-street-elementary-steam-magnet-1946-w-crestwood-st-lausd,1946 W Crestwood St,Rancho Palos Verdes,310-832-8130,No Data,Crestwood Street Elementary STEAM Magnet
445,LAUSD,ctc---west-7850-melrose-ave-lausd,7850 Melrose Ave,Los Angeles,323-370-1223,,CTC - West
446,LAUSD,dahlia-heights-elementary-5063-floristan-ave-lausd,5063 Floristan Ave,Los Angeles,323-255-1419,No Data,Dahlia Heights Elementary
447,LAUSD,dan-m-isaacs-avalon-high-school-1425-n-avalon-blvd-lausd,1425 N Avalon Blvd,Wilmington,310-549-2112,No Data,Dan M Isaacs Avalon High School
448,LAUSD,daniel-pearl-senior-high-journalism-&-communications-magnet-6649-balboa-blvd-lausd,6649 Balboa Blvd,Lake Balboa,818-654-3775,No Data,Daniel Pearl Senior High Journalism & Communications Magnet
449,LAUSD,daniel-webster-middle-school-11330-w-graham-pl-lausd,11330 W Graham Pl,Los Angeles,310-235-4600,No Data,Daniel Webster Middle School
450,LAUSD,daniel-webster-middle-school-steam-magnet-11330-w-graham-pl-lausd,11330 W Graham Pl,Los Angeles,310-235-4600,No Data,Daniel Webster Middle School STEAM Magnet
451,LAUSD,danny-j-bakewell-sr-primary-center-8621-s-baring-cross-st-lausd,8621 S Baring Cross St,Los Angeles,323-751-3887,No Data,Danny J Bakewell Sr Primary Center
452,LAUSD,danube-avenue-elementary-11220-danube-ave-lausd,11220 Danube Ave,Granada Hills,818-366-6463,No Data,Danube Avenue Elementary
453,LAUSD,darby-avenue-elementary-10818-darby-ave-lausd,10818 Darby Ave,Porter Ranch,818-360-1824,No Data,Darby Avenue Elementary
454,LAUSD,david-starr-jordan-senior-high-2265-e-103rd-st-lausd,2265 E 103rd St,Los Angeles,323-568-4100,No Data,David Starr Jordan Senior High
455,LAUSD,dayton-heights-elementary-607-n-westmoreland-ave-lausd,607 N Westmoreland Ave,Los Angeles,323-661-3308,No Data,Dayton Heights Elementary
456,LAUSD,dayton-heights-elementary-urban-env-science-magnet-607-n-westmoreland-ave-lausd,607 N Westmoreland Ave,Los Angeles,323-661-3308,No Data,Dayton Heights Elementary Urban Env Science Magnet
457,LAUSD,dearborn-elementary-charter-academy-9240-wish-ave-lausd,9240 Wish Ave,Northridge,818-349-4381,No Data,Dearborn Elementary Charter Academy
458,LAUSD,del-amo-elementary-21228-water-st-lausd,21228 Water St,Carson,310-830-5351,No Data,Del Amo Elementary
459,LAUSD,delevan-drive-elementary-4168-w-avenue-42-lausd,4168 W Avenue 42,Los Angeles,323-255-0571,No Data,Delevan Drive Elementary
460,LAUSD,denker-avenue-elementary-1620-w-162nd-st-lausd,1620 W 162nd St,Gardena,310-327-9420,No Data,Denker Avenue Elementary
461,LAUSD,denker-avenue-elementary-dl-two-way-im-korean-1620-w-162nd-st-lausd,1620 W 162nd St,Gardena,310-327-9420,No Data,Denker Avenue Elementary DL Two-Way Im Korean
462,LAUSD,diane-s-leichman-career-preparatory-and-transition-center-19034-gault-st-lausd,19034 Gault St,Reseda,818-881-5341,No Data,Diane S Leichman Career Preparatory and Transition Center
463,LAUSD,diego-rivera-learning-complex-communication-&-technology-6100-s-central-ave-lausd,6100 S Central Ave,Los Angeles,323-846-2118,No Data,Diego Rivera Learning Complex Communication & Technology
464,LAUSD,diego-rivera-learning-complex-green-design-steam-academy-6100-s-central-ave-lausd,6100 S Central Ave,Los Angeles,323-846-2108,No Data,Diego Rivera Learning Complex Green Design STEAM Academy
465,LAUSD,diego-rivera-learning-complex-performing-arts-6100-s-central-ave-lausd,6100 S Central Ave,Los Angeles,323-846-2136,No Data,Diego Rivera Learning Complex Performing Arts
466,LAUSD,diego-rivera-learning-complex-public-service-community-6100-s-central-ave-lausd,6100 S Central Ave,Los Angeles,323-846-2128,No Data,Diego Rivera Learning Complex Public Service Community
467,LAUSD,dixie-canyon-community-charter-4220-dixie-canyon-ave-lausd,4220 Dixie Canyon Ave,Sherman Oaks,818-784-6283,No Data,Dixie Canyon Community Charter
468,LAUSD,dolores-huerta-elementary-school-260-e-31st-st-lausd,260 E 31st St,Los Angeles,323-846-4820,No Data,Dolores Huerta Elementary School
469,LAUSD,dolores-street-elementary-22526-dolores-st-lausd,22526 Dolores St,Carson,310-834-2565,No Data,Dolores Street Elementary
470,LAUSD,dominguez-elementary-21250-santa-fe-ave-lausd,21250 Santa Fe Ave,Carson,310-835-7137,No Data,Dominguez Elementary
471,LAUSD,dominguez-elementary-dl-two-way-im-spanish-21250-santa-fe-ave-lausd,21250 Santa Fe Ave,Carson,310-835-7137,No Data,Dominguez Elementary DL Two-Way Im Spanish
472,LAUSD,dorothy-v-johnson-community-day-school-10601-s-grandee-ave-lausd,10601 S Grandee Ave,Los Angeles,323-568-8400,No Data,Dorothy V Johnson Community Day School
473,LAUSD,dorris-place-elementary-2225-dorris-pl-lausd,2225 Dorris Pl,Los Angeles,323-222-9185,No Data,Dorris Place Elementary
474,LAUSD,downtown-business-magnet-1081-w-temple-st-lausd,1081 W Temple St,Los Angeles,213-481-0371,No Data,Downtown Business Magnet
475,LAUSD,downtown-computer-sci/digital-media-arts/eng-magnet-1081-w-temple-st-lausd,1081 W Temple St,Los Angeles,213-481-0371,,Downtown Computer Sci/Digital Media Arts/Eng Magnet
476,LAUSD,dr-james-edward-jones-primary-center-1017-w-47th-st-lausd,1017 W 47th St,Los Angeles,323-235-8911,No Data,Dr James Edward Jones Primary Center
477,LAUSD,dr-julian-nava-learning-academy-1420-e-adams-blvd-lausd,1420 E Adams Blvd,Los Angeles,323-846-2200,No Data,Dr Julian Nava Learning Academy
478,LAUSD,dr-lawrence-h-moore-math-science-technology-academy-1321-e-61st-st-lausd,1321 E 61st St,Los Angeles,323-277-2310,No Data,Dr Lawrence H Moore Math Science Technology Academy
479,LAUSD,dr-maya-angelou-community-senior-high-300-e-53rd-st-lausd,300 E 53rd St,Los Angeles,323-846-4600,No Data,Dr Maya Angelou Community Senior High
480,LAUSD,dr-owen-lloyd-knox-elementary-dl-two-way-im-spanish-8919-s-main-st-lausd,8919 S Main St,Los Angeles,323-565-2960,No Data,Dr Owen Lloyd Knox Elementary DL Two-Way Im Spanish
481,LAUSD,dr-owen-lloyd-knox-elementary-school-8919-s-main-st-lausd,8919 S Main St,Los Angeles,323-565-2960,No Data,Dr Owen Lloyd Knox Elementary School
482,LAUSD,dr-owen-lloyd-knox-elementary-visual/performing-arts-magnet-8919-s-main-st-lausd,8919 S Main St,Los Angeles,323-565-2960,No Data,Dr Owen Lloyd Knox Elementary Visual/Performing Arts Magnet
483,LAUSD,dr-richard-a-vladovic-harbor-teacher-preparation-academy-1111-figueroa-pl-lausd,1111 Figueroa Pl,Wilmington,310-834-3932,No Data,Dr Richard A Vladovic Harbor Teacher Preparation Academy
484,LAUSD,dr-sammy-lee-elementary-medical-and-health-science-magnet-3600-council-st-lausd,3600 Council St,Los Angeles,213-368-8775,No Data,Dr Sammy Lee Elementary Medical and Health Science Magnet
485,LAUSD,dr-theodore-t-alexander-jr-science-center-school-3737-s-figueroa-st-lausd,3737 S Figueroa St,Los Angeles,213-746-1995,No Data,Dr Theodore T Alexander Jr Science Center School
486,LAUSD,dr-theodore-t-alexander-jr-science-ctr-dl-two-way-im-spanish-3737-s-figueroa-st-lausd,3737 S Figueroa St,Los Angeles,213-746-1995,,Dr Theodore T Alexander Jr Science Ctr DL Two-Way Im Spanish
487,LAUSD,duke-ellington-continuation-high-1541-w-110th-st-lausd,1541 W 110th St,Los Angeles,323-418-4130,No Data,Duke Ellington Continuation High
488,LAUSD,dyer-street-elementary-14500-dyer-st-lausd,14500 Dyer St,Sylmar,818-367-1932,No Data,Dyer Street Elementary
489,LAUSD,eagle-rock-elementary-2057-fair-park-ave-lausd,2057 Fair Park Ave,Los Angeles,323-254-6851,No Data,Eagle Rock Elementary
490,LAUSD,eagle-rock-elementary-gifted-magnet-2057-fair-park-ave-lausd,2057 Fair Park Ave,Los Angeles,323-254-6851,No Data,Eagle Rock Elementary Gifted Magnet
491,LAUSD,eagle-rock-elementary-highly-gifted-magnet-2057-fair-park-ave-lausd,2057 Fair Park Ave,Los Angeles,323-254-6851,No Data,Eagle Rock Elementary Highly Gifted Magnet
492,LAUSD,eagle-rock-high-school-1750-yosemite-dr-lausd,1750 Yosemite Dr,Los Angeles,323-340-3500,No Data,Eagle Rock High School
493,LAUSD,eagle-rock-high-school-gifted-magnet-1750-yosemite-dr-lausd,1750 Yosemite Dr,Los Angeles,323-340-3500,,Eagle Rock High School Gifted Magnet
494,LAUSD,eagle-tree-continuation-high-22628-s-main-st-lausd,22628 S Main St,Carson,310-549-0970,No Data,Eagle Tree Continuation High
495,LAUSD,early-college-academy---la-trade-tech-college-400-w-washington-blvd-lausd,400 W Washington Blvd,Los Angeles,213-763-3685,No Data,Early College Academy - LA Trade Tech College
496,LAUSD,east-valley-senior-high-5525-vineland-ave-lausd,5525 Vineland Ave,North Hollywood,818-753-4400,No Data,East Valley Senior High
497,LAUSD,eastman-avenue-elementary-4112-e-olympic-blvd-lausd,4112 E Olympic Blvd,Los Angeles,323-269-0456,No Data,Eastman Avenue Elementary
498,LAUSD,eastman-avenue-elementary-dl-one-&-two-way-im-spanish-4112-e-olympic-blvd-lausd,4112 E Olympic Blvd,Los Angeles,323-269-0456,No Data,Eastman Avenue Elementary DL One & Two-Way Im Spanish
499,LAUSD,edward-r-roybal-lc-innov-cine-arts/music-prod-magnet-1200-w-colton-st-lausd,1200 W Colton St,Los Angeles,213-580-6400,,Edward R Roybal LC Innov Cine Arts/Music Prod Magnet
500,LAUSD,edward-r-roybal-learning-center-1200-w-colton-st-lausd,1200 W Colton St,Los Angeles,213-580-6400,No Data,Edward R Roybal Learning Center
501,LAUSD,edwin-markham-middle-school-1650-e-104th-st-lausd,1650 E 104th St,Los Angeles,323-568-5500,No Data,Edwin Markham Middle School
502,LAUSD,edwin-markham-middle-school-health-careers-magnet-1650-e-104th-st-lausd,1650 E 104th St,Los Angeles,323-568-5500,,Edwin Markham Middle School Health Careers Magnet
503,LAUSD,edwin-markham-middle-school-visual/performing-arts-magnet-1650-e-104th-st-lausd,1650 E 104th St,Los Angeles,323-568-5500,,Edwin Markham Middle School Visual/Performing Arts Magnet
504,LAUSD,el-dorado-avenue-elementary-12749-el-dorado-ave-lausd,12749 El Dorado Ave,Sylmar,818-367-5816,No Data,El Dorado Avenue Elementary
505,LAUSD,el-oro-way-charter-for-enriched-studies-12230-el-oro-way-lausd,12230 El Oro Way,Granada Hills,818-360-2288,No Data,El Oro Way Charter for Enriched Studies
506,LAUSD,el-sereno-elementary-3838-rosemead-ave-lausd,3838 Rosemead Ave,Los Angeles,323-222-3389,No Data,El Sereno Elementary
507,LAUSD,el-sereno-middle-school-2839-n-eastern-ave-lausd,2839 N Eastern Ave,Los Angeles,323-224-4700,No Data,El Sereno Middle School
508,LAUSD,el-sereno-middle-school-env-sci/humanitarian-magnet-2839-n-eastern-ave-lausd,2839 N Eastern Ave,Los Angeles,323-224-4700,,El Sereno Middle School Env Sci/Humanitarian Magnet
509,LAUSD,el-sereno-middle-school-gifted-magnet-2839-n-eastern-ave-lausd,2839 N Eastern Ave,Los Angeles,323-224-4700,No Data,El Sereno Middle School Gifted Magnet
510,LAUSD,el-sereno-middle-school-science/tech/math-magnet-2839-n-eastern-ave-lausd,2839 N Eastern Ave,Los Angeles,323-224-4700,,El Sereno Middle School Science/Tech/Math Magnet
511,LAUSD,elementary-community-day-school-10001-jumilla-ave-lausd,10001 Jumilla Ave,Chatsworth,213-239-5656,No Data,Elementary Community Day School
512,LAUSD,elizabeth-lc-dl-two-way-im-arabic-4811-elizabeth-st-lausd,4811 Elizabeth St,Cudahy,323-271-3600,,Elizabeth LC DL Two-Way Im Arabic
513,LAUSD,elizabeth-learning-center-4811-elizabeth-st-lausd,4811 Elizabeth St,Cudahy,323-271-3600,No Data,Elizabeth Learning Center
514,LAUSD,ellen-ochoa-lc-dl-two-way-im-spanish-5027-live-oak-st-lausd,5027 Live Oak St,Cudahy,323-869-1300,,Ellen Ochoa LC DL Two-Way Im Spanish
515,LAUSD,ellen-ochoa-learning-center-5027-live-oak-st-lausd,5027 Live Oak St,Cudahy,323-869-1300,No Data,Ellen Ochoa Learning Center
516,LAUSD,elysian-heights-elementary-arts-magnet-1562-baxter-st-lausd,1562 Baxter St,Los Angeles,323-665-6315,No Data,Elysian Heights Elementary Arts Magnet
517,LAUSD,emelita-street-elementary-17931-hatteras-st-lausd,17931 Hatteras St,Encino,818-342-6353,No Data,Emelita Street Elementary
518,LAUSD,emerson-community-charter-1650-selby-ave-lausd,1650 Selby Ave,Los Angeles,310-234-3100,No Data,Emerson Community Charter
519,LAUSD,enadia-way-technology-charter-22944-enadia-way-lausd,22944 Enadia Way,West Hills,818-595-3900,No Data,Enadia Way Technology Charter
520,LAUSD,encino-charter-elementary-16941-addison-st-lausd,16941 Addison St,Encino,818-784-1762,No Data,Encino Charter Elementary
521,LAUSD,ernest-lawrence-middle-school-10100-variel-ave-lausd,10100 Variel Ave,Chatsworth,818-678-7900,No Data,Ernest Lawrence Middle School
522,LAUSD,ernest-lawrence-middle-school-gifted-magnet-10100-variel-ave-lausd,10100 Variel Ave,Chatsworth,818-678-7924,No Data,Ernest Lawrence Middle School Gifted Magnet
