id,index,district_x,name_x,address_x,phone,original_name_x,devons_key,participating,Match,rowid,school,district_y,address_y,original_name_y,name_y,tap_key,simple_name,district,duped,score
789,789,LAUSD,12561-filmore-st-hillery-t-broadous-elementary-,12561 Filmore St,818-896-5236,Hillery T Broadous Elementary Science/Tech/Math Magnet,12561-filmore-st-hillery-t-broadous-elementary-science/tech/math-magnet,True,"[('12561 filmore st hillery t broadous elementary', 90.0, '12561-filmore-st-hillery-t-broadous-elementary-')]",2169,Hillery T. Broadous Elementary(LAUSD),Los Angeles Unified,12561 Filmore St.,Hillery T. Broadous Elementary(LAUSD),Hillery T. Broadous Elementary,12561-filmore-st-hillery-t-broadous-elementary-,12561-filmore-st-hillery-t-broadous-elementary-,,False, 90.0
790,790,LAUSD,120-east-avenue-35-hillside-elementary-,120 E Avenue 35,323-222-2665,Hillside Elementary,120-e-avenue-35-hillside-elementary,True,"[('120 east avenue 35 hillside elementary', 95.89041095890411, '120-east-avenue-35-hillside-elementary-')]",2170,Hillside Elementary(LAUSD),Los Angeles Unified,120 East Avenue 35,Hillside Elementary(LAUSD),Hillside Elementary,120-east-avenue-35-hillside-elementary-,120-east-avenue-35-hillside-elementary-,,False, 95.89041095890411
791,791,LAUSD,980-south-hobart-blvd-hobart-boulevard-elementary-,980 S Hobart Blvd,213-386-8661,Hobart Boulevard Elementary,980-s-hobart-blvd-hobart-boulevard-elementary,True,"[('980 south hobart blvd hobart boulevard elementary', 95.74468085106383, '980-south-hobart-blvd-hobart-boulevard-elementary-')]",1545,Hobart Boulevard Elementary(LAUSD),Los Angeles Unified,980 South Hobart Blvd.,Hobart Boulevard Elementary(LAUSD),Hobart Boulevard Elementary,980-south-hobart-blvd-hobart-boulevard-elementary-,980-south-hobart-blvd-hobart-boulevard-elementary-,,False, 95.74468085106383
792,792,LAUSD,1115-tamarind-ave-hollywood-elementary-,1115 Tamarind Ave,323-464-0331,Hollywood Elementary,1115-tamarind-ave-hollywood-elementary,True,"[('1115 tamarind ave hollywood elementary', 100.0, '1115-tamarind-ave-hollywood-elementary-')]",1547,Hollywood Elementary(LAUSD),Los Angeles Unified,1115 Tamarind Ave.,Hollywood Elementary(LAUSD),Hollywood Elementary,1115-tamarind-ave-hollywood-elementary-,1115-tamarind-ave-hollywood-elementary-,,False, 100.0
793,793,LAUSD,1521-north-highland-ave-hollywood-senior-high-,1521 N Highland Ave,323-993-1700,Hollywood Senior High,1521-n-highland-ave-hollywood-senior-high,True,"[('1521 north highland ave hollywood senior high', 95.34883720930233, '1521-north-highland-ave-hollywood-senior-high-')]",2014,Hollywood Senior High(LAUSD),Los Angeles Unified,1521 North Highland Ave.,Hollywood Senior High(LAUSD),Hollywood Senior High,1521-north-highland-ave-hollywood-senior-high-,1521-north-highland-ave-hollywood-senior-high-,,False, 95.34883720930233
794,794,LAUSD,1521-north-highland-ave-hollywood-senior-high-,1521 N Highland Ave,323-993-1700,Hollywood Senior High New Media Magnet,1521-n-highland-ave-hollywood-senior-high-new-media-magnet,True,"[('1521 north highland ave hollywood senior high', 88.21428571428571, '1521-north-highland-ave-hollywood-senior-high-')]",2014,Hollywood Senior High(LAUSD),Los Angeles Unified,1521 North Highland Ave.,Hollywood Senior High(LAUSD),Hollywood Senior High,1521-north-highland-ave-hollywood-senior-high-,1521-north-highland-ave-hollywood-senior-high-,,False, 88.21428571428571
795,795,LAUSD,1521-north-highland-ave-hollywood-senior-high-,1521 N Highland Ave,323-993-1700,Hollywood Senior High Performing Arts Magnet,1521-n-highland-ave-hollywood-senior-high-performing-arts-magnet,True,"[('1521 north highland ave hollywood senior high', 88.21428571428571, '1521-north-highland-ave-hollywood-senior-high-')]",2014,Hollywood Senior High(LAUSD),Los Angeles Unified,1521 North Highland Ave.,Hollywood Senior High(LAUSD),Hollywood Senior High,1521-north-highland-ave-hollywood-senior-high-,1521-north-highland-ave-hollywood-senior-high-,,False, 88.21428571428571
796,796,LAUSD,5108-holmes-ave-holmes-avenue-elementary-,5108 Holmes Ave,323-582-7238,Holmes Avenue Elementary,5108-holmes-ave-holmes-avenue-elementary,True,"[('5108 holmes ave holmes avenue elementary', 100.0, '5108-holmes-ave-holmes-avenue-elementary-')]",2015,Holmes Avenue Elementary(LAUSD),Los Angeles Unified,5108 Holmes Ave.,Holmes Avenue Elementary(LAUSD),Holmes Avenue Elementary,5108-holmes-ave-holmes-avenue-elementary-,5108-holmes-ave-holmes-avenue-elementary-,,False, 100.0
797,797,LAUSD,1225-east-52nd-st-hooper-avenue-elementary-,1225 E 52nd St,323-232-3571,Hooper Avenue Elementary,1225-e-52nd-st-hooper-avenue-elementary,True,"[('1225 east 52nd st hooper avenue elementary', 96.2962962962963, '1225-east-52nd-st-hooper-avenue-elementary-')]",2022,Hooper Avenue Elementary(LAUSD),Los Angeles Unified,1225 East 52nd St.,Hooper Avenue Elementary(LAUSD),Hooper Avenue Elementary,1225-east-52nd-st-hooper-avenue-elementary-,1225-east-52nd-st-hooper-avenue-elementary-,,False, 96.2962962962963
798,798,LAUSD,1225-east-52nd-st-hooper-avenue-elementary-,1225 E 52nd St,323-232-3571,Hooper Avenue Elementary DL Two-Way Im Spanish,1225-e-52nd-st-hooper-avenue-elementary-dl-two-way-im-spanish,True,"[('1225 east 52nd st hooper avenue elementary', 88.9873417721519, '1225-east-52nd-st-hooper-avenue-elementary-')]",2022,Hooper Avenue Elementary(LAUSD),Los Angeles Unified,1225 East 52nd St.,Hooper Avenue Elementary(LAUSD),Hooper Avenue Elementary,1225-east-52nd-st-hooper-avenue-elementary-,1225-east-52nd-st-hooper-avenue-elementary-,,False, 88.9873417721519
799,799,LAUSD,1280-east-52nd-st-hooper-avenue-primary-center-,1280 E 52nd St,323-233-5866,Hooper Avenue Primary Center,1280-e-52nd-st-hooper-avenue-primary-center,True,"[('1280 east 52nd st hooper avenue primary center', 96.62921348314607, '1280-east-52nd-st-hooper-avenue-primary-center-')]",2023,Hooper Avenue Primary Center(LAUSD),Los Angeles Unified,1280 East 52nd St.,Hooper Avenue Primary Center(LAUSD),Hooper Avenue Primary Center,1280-east-52nd-st-hooper-avenue-primary-center-,1280-east-52nd-st-hooper-avenue-primary-center-,,False, 96.62921348314607
800,800,LAUSD,2726-francis-ave-hoover-street-elementary-,2726 Francis Ave,213-387-3296,Hoover Street Elementary,2726-francis-ave-hoover-street-elementary,True,"[('2726 francis ave hoover street elementary', 100.0, '2726-francis-ave-hoover-street-elementary-')]",2024,Hoover Street Elementary(LAUSD),Los Angeles Unified,2726 Francis Ave.,Hoover Street Elementary(LAUSD),Hoover Street Elementary,2726-francis-ave-hoover-street-elementary-,2726-francis-ave-hoover-street-elementary-,,False, 100.0
801,801,LAUSD,7560-state-st-hope-street-elementary-,7560 State St,323-586-5700,Hope Street Elementary,7560-state-st-hope-street-elementary,True,"[('7560 state st hope street elementary', 100.0, '7560-state-st-hope-street-elementary-')]",2025,Hope Street Elementary(LAUSD),Los Angeles Unified,7560 State St.,Hope Street Elementary(LAUSD),Hope Street Elementary,7560-state-st-hope-street-elementary-,7560-state-st-hope-street-elementary-,,False, 100.0
802,802,LAUSD,7001-south-saint-andrews-pl-horace-mann-ucla-community-,7001 S St Andrews Pl,323-541-1900,Horace Mann UCLA Community School,7001-s-st-andrews-pl-horace-mann-ucla-community-school,True,"[('7001 south saint andrews pl horace mann ucla community', 87.03703703703704, '7001-south-saint-andrews-pl-horace-mann-ucla-community-')]",2026,Horace Mann UCLA Community(LAUSD),Los Angeles Unified,7001 South Saint Andrews Pl.,Horace Mann UCLA Community(LAUSD),Horace Mann UCLA Community,7001-south-saint-andrews-pl-horace-mann-ucla-community-,7001-south-saint-andrews-pl-horace-mann-ucla-community-,,False, 87.03703703703704
803,803,LAUSD,13325-hubbard-st-hubbard-street-elementary-,13325 Hubbard St,818-367-1944,Hubbard Street Elementary,13325-hubbard-st-hubbard-street-elementary,True,"[('13325 hubbard st hubbard street elementary', 100.0, '13325-hubbard-st-hubbard-street-elementary-')]",2027,Hubbard Street Elementary(LAUSD),Los Angeles Unified,13325 Hubbard St.,Hubbard Street Elementary(LAUSD),Hubbard Street Elementary,13325-hubbard-st-hubbard-street-elementary-,13325-hubbard-st-hubbard-street-elementary-,,False, 100.0
804,804,LAUSD,13325-hubbard-st-hubbard-street-elementary-,13325 Hubbard St,818-367-1944,Hubbard Street Elementary STEAM Magnet,13325-hubbard-st-hubbard-street-elementary-steam-magnet,True,"[('13325 hubbard st hubbard street elementary', 95.0, '13325-hubbard-st-hubbard-street-elementary-')]",2027,Hubbard Street Elementary(LAUSD),Los Angeles Unified,13325 Hubbard St.,Hubbard Street Elementary(LAUSD),Hubbard Street Elementary,13325-hubbard-st-hubbard-street-elementary-,13325-hubbard-st-hubbard-street-elementary-,,False, 95.0
805,805,LAUSD,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,929 N Las Palmas Ave,323-993-3400,Hubert Howe Bancroft Middle School,929-n-las-palmas-ave-hubert-howe-bancroft-middle-school,True,"[('929 north las palmas ave hubert howe bancroft middle', 89.7196261682243, '929-north-las-palmas-ave-hubert-howe-bancroft-middle-')]",2028,Hubert Howe Bancroft Middle(LAUSD),Los Angeles Unified,929 North Las Palmas Ave.,Hubert Howe Bancroft Middle(LAUSD),Hubert Howe Bancroft Middle,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,,False, 89.7196261682243
806,806,LAUSD,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,929 N Las Palmas Ave,323-993-3400,Hubert Howe Bancroft Middle School Gifted STEAM Magnet,929-n-las-palmas-ave-hubert-howe-bancroft-middle-school-gifted-steam-magnet,True,"[('929 north las palmas ave hubert howe bancroft middle', 89.18367346938776, '929-north-las-palmas-ave-hubert-howe-bancroft-middle-')]",2028,Hubert Howe Bancroft Middle(LAUSD),Los Angeles Unified,929 North Las Palmas Ave.,Hubert Howe Bancroft Middle(LAUSD),Hubert Howe Bancroft Middle,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,,False, 89.18367346938776
807,807,LAUSD,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,929 N Las Palmas Ave,323-993-3400,Hubert Howe Bancroft Middle School Performing Arts Magnet,929-n-las-palmas-ave-hubert-howe-bancroft-middle-school-performing-arts-magnet,True,"[('929 north las palmas ave hubert howe bancroft middle', 86.4, '929-north-las-palmas-ave-hubert-howe-bancroft-middle-')]",2028,Hubert Howe Bancroft Middle(LAUSD),Los Angeles Unified,929 North Las Palmas Ave.,Hubert Howe Bancroft Middle(LAUSD),Hubert Howe Bancroft Middle,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,929-north-las-palmas-ave-hubert-howe-bancroft-middle-,,False, 86.4
808,808,LAUSD,500-south-humphreys-ave-humphreys-avenue-elementary-,500 S Humphreys Ave,323-263-6958,Humphreys Avenue Elementary,500-s-humphreys-ave-humphreys-avenue-elementary,True,"[('500 south humphreys ave humphreys avenue elementary', 95.91836734693877, '500-south-humphreys-ave-humphreys-avenue-elementary-')]",2031,Humphreys Avenue Elementary(LAUSD),Los Angeles Unified,500 South Humphreys Ave.,Humphreys Avenue Elementary(LAUSD),Humphreys Avenue Elementary,500-south-humphreys-ave-humphreys-avenue-elementary-,500-south-humphreys-ave-humphreys-avenue-elementary-,,False, 95.91836734693877
809,809,LAUSD,500-south-humphreys-ave-humphreys-avenue-elementary-,500 S Humphreys Ave,323-263-6958,Humphreys Avenue Elementary DL Two-Way Im Spanish,500-s-humphreys-ave-humphreys-avenue-elementary-dl-two-way-im-spanish,True,"[('500 south humphreys ave humphreys avenue elementary', 87.5, '500-south-humphreys-ave-humphreys-avenue-elementary-')]",2031,Humphreys Avenue Elementary(LAUSD),Los Angeles Unified,500 South Humphreys Ave.,Humphreys Avenue Elementary(LAUSD),Humphreys Avenue Elementary,500-south-humphreys-ave-humphreys-avenue-elementary-,500-south-humphreys-ave-humphreys-avenue-elementary-,,False, 87.5
810,810,LAUSD,500-south-humphreys-ave-humphreys-avenue-elementary-,500 S Humphreys Ave,323-263-6958,Humphreys Avenue Elementary Science/Tech/Math Magnet,500-s-humphreys-ave-humphreys-avenue-elementary-science/tech/math-magnet,True,"[('500 south humphreys ave humphreys avenue elementary', 87.5, '500-south-humphreys-ave-humphreys-avenue-elementary-')]",2031,Humphreys Avenue Elementary(LAUSD),Los Angeles Unified,500 South Humphreys Ave.,Humphreys Avenue Elementary(LAUSD),Humphreys Avenue Elementary,500-south-humphreys-ave-humphreys-avenue-elementary-,500-south-humphreys-ave-humphreys-avenue-elementary-,,False, 87.5
811,811,LAUSD,4435-north-huntington-dr-huntington-drive-elementary-,4435 N Huntington Dr,323-223-1336,Huntington Drive Elementary,4435-n-huntington-dr-huntington-drive-elementary,True,"[('4435 north huntington dr huntington drive elementary', 96.0, '4435-north-huntington-dr-huntington-drive-elementary-')]",2249,Huntington Drive Elementary(LAUSD),Los Angeles Unified,4435 North Huntington Dr.,Huntington Drive Elementary(LAUSD),Huntington Drive Elementary,4435-north-huntington-dr-huntington-drive-elementary-,4435-north-huntington-dr-huntington-drive-elementary-,,False, 96.0
812,812,LAUSD,4435-north-huntington-dr-huntington-drive-elementary-,4435 N Huntington Dr,323-223-1336,Huntington Drive Elementary DL Two-Way Im Spanish,4435-n-huntington-dr-huntington-drive-elementary-dl-two-way-im-spanish,True,"[('4435 north huntington dr huntington drive elementary', 87.5, '4435-north-huntington-dr-huntington-drive-elementary-')]",2249,Huntington Drive Elementary(LAUSD),Los Angeles Unified,4435 North Huntington Dr.,Huntington Drive Elementary(LAUSD),Huntington Drive Elementary,4435-north-huntington-dr-huntington-drive-elementary-,4435-north-huntington-dr-huntington-drive-elementary-,,False, 87.5
813,813,LAUSD,6055-corona-ave-huntington-park-elementary-,6055 Corona Ave,323-869-5920,Huntington Park  Elementary DL Two-Way Im Spanish,6055-corona-ave-huntington-park--elementary-dl-two-way-im-spanish,True,"[('6055 corona ave huntington park elementary', 87.85714285714286, '6055-corona-ave-huntington-park-elementary-')]",2250,Huntington Park Elementary(LAUSD),Los Angeles Unified,6055 Corona Ave.,Huntington Park Elementary(LAUSD),Huntington Park Elementary,6055-corona-ave-huntington-park-elementary-,6055-corona-ave-huntington-park-elementary-,,False, 87.85714285714286
814,814,LAUSD,6055-corona-ave-huntington-park-elementary-,6055 Corona Ave,323-869-5920,Huntington Park Elementary,6055-corona-ave-huntington-park-elementary,True,"[('6055 corona ave huntington park elementary', 100.0, '6055-corona-ave-huntington-park-elementary-')]",2250,Huntington Park Elementary(LAUSD),Los Angeles Unified,6055 Corona Ave.,Huntington Park Elementary(LAUSD),Huntington Park Elementary,6055-corona-ave-huntington-park-elementary-,6055-corona-ave-huntington-park-elementary-,,False, 100.0
815,815,LAUSD,6020-miles-ave-huntington-park-senior-high-,6020 Miles Ave,323-826-2300,Huntington Park Senior High,6020-miles-ave-huntington-park-senior-high,True,"[('6020 miles ave huntington park senior high', 100.0, '6020-miles-ave-huntington-park-senior-high-')]",2251,Huntington Park Senior High(LAUSD),Los Angeles Unified,6020 Miles Ave.,Huntington Park Senior High(LAUSD),Huntington Park Senior High,6020-miles-ave-huntington-park-senior-high-,6020-miles-ave-huntington-park-senior-high-,,False, 100.0
816,816,LAUSD,6020-miles-ave-huntington-park-senior-high-,6020 Miles Ave,323-826-2300,Huntington Park Senior High STEAM Magnet,6020-miles-ave-huntington-park-senior-high-steam-magnet,True,"[('6020 miles ave huntington park senior high', 95.0, '6020-miles-ave-huntington-park-senior-high-')]",2251,Huntington Park Senior High(LAUSD),Los Angeles Unified,6020 Miles Ave.,Huntington Park Senior High(LAUSD),Huntington Park Senior High,6020-miles-ave-huntington-park-senior-high-,6020-miles-ave-huntington-park-senior-high-,,False, 95.0
817,817,LAUSD,6501-balboa-blvd-independence-continuation-,6501 Balboa Blvd,818-881-7737,Independence Continuation High,6501-balboa-blvd-independence-continuation-high,True,"[('6501 balboa blvd independence continuation', 95.0, '6501-balboa-blvd-independence-continuation-')]",1692,Independence Continuation(LAUSD),Los Angeles Unified,6501 Balboa Blvd.,Independence Continuation(LAUSD),Independence Continuation,6501-balboa-blvd-independence-continuation-,6501-balboa-blvd-independence-continuation-,,False, 95.0
818,818,LAUSD,8435-victoria-ave-independence-elementary-,8435 Victoria Ave,323-249-9559,Independence Elementary,8435-victoria-ave-independence-elementary,True,"[('8435 victoria ave independence elementary', 100.0, '8435-victoria-ave-independence-elementary-')]",1693,Independence Elementary(LAUSD),Los Angeles Unified,8435 Victoria Ave.,Independence Elementary(LAUSD),Independence Elementary,8435-victoria-ave-independence-elementary-,8435-victoria-ave-independence-elementary-,,False, 100.0
819,819,LAUSD,8435-victoria-ave-independence-elementary-,8435 Victoria Ave,323-249-9559,Independence Elementary DL Two-Way Im Spanish,8435-victoria-ave-independence-elementary-dl-two-way-im-spanish,True,"[('8435 victoria ave independence elementary', 90.0, '8435-victoria-ave-independence-elementary-')]",1693,Independence Elementary(LAUSD),Los Angeles Unified,8435 Victoria Ave.,Independence Elementary(LAUSD),Independence Elementary,8435-victoria-ave-independence-elementary-,8435-victoria-ave-independence-elementary-,,False, 90.0
820,820,LAUSD,8435-victoria-ave-independence-elementary-,8435 Victoria Ave,323-249-9385,Independence Elementary STEM Magnet,8435-victoria-ave-independence-elementary-stem-magnet,True,"[('8435 victoria ave independence elementary', 95.0, '8435-victoria-ave-independence-elementary-')]",1693,Independence Elementary(LAUSD),Los Angeles Unified,8435 Victoria Ave.,Independence Elementary(LAUSD),Independence Elementary,8435-victoria-ave-independence-elementary-,8435-victoria-ave-independence-elementary-,,False, 95.0
821,821,LAUSD,5225-tweedy-blvd-international-studies-learning-center-at-legacy-high-school-complex-,5225 Tweedy Blvd,323-357-7521,International Studies Learning Center,5225-tweedy-blvd-international-studies-learning-center,True,"[('5225 tweedy blvd international studies learning center at legacy high school complex', 90.0, '5225-tweedy-blvd-international-studies-learning-center-at-legacy-high-school-complex-')]",1697,International Studies Learning Center at Legacy High School Complex(LAUSD),Los Angeles Unified,5225 Tweedy Blvd.,International Studies Learning Center at Legacy High School Complex(LAUSD),International Studies Learning Center at Legacy High School Complex,5225-tweedy-blvd-international-studies-learning-center-at-legacy-high-school-complex-,5225-tweedy-blvd-international-studies-learning-center-at-legacy-high-school-complex-,,False, 90.0
822,822,LAUSD,2828-herkimer-st-ivanhoe-elementary-,2828 Herkimer St,323-664-0051,Ivanhoe Elementary,2828-herkimer-st-ivanhoe-elementary,True,"[('2828 herkimer st ivanhoe elementary', 100.0, '2828-herkimer-st-ivanhoe-elementary-')]",1270,Ivanhoe Elementary(LAUSD),Los Angeles Unified,2828 Herkimer St.,Ivanhoe Elementary(LAUSD),Ivanhoe Elementary,2828-herkimer-st-ivanhoe-elementary-,2828-herkimer-st-ivanhoe-elementary-,,False, 100.0
823,823,LAUSD,12924-a-oxnard-st-jack-london-community-day-,12924-A Oxnard St,818-756-2795,Jack London Community Day School,12924-a-oxnard-st-jack-london-community-day-school,True,"[('12924 a oxnard st jack london community day', 95.0, '12924-a-oxnard-st-jack-london-community-day-')]",1273,Jack London Community Day(LAUSD),Los Angeles Unified,12924-A Oxnard St.,Jack London Community Day(LAUSD),Jack London Community Day,12924-a-oxnard-st-jack-london-community-day-,12924-a-oxnard-st-jack-london-community-day-,,False, 95.0
824,824,LAUSD,12924-oxnard-st-jack-london-continuation-,12924 Oxnard St,818-756-2794,Jack London Continuation High,12924-oxnard-st-jack-london-continuation-high,True,"[('12924 oxnard st jack london continuation', 95.0, '12924-oxnard-st-jack-london-continuation-')]",1274,Jack London Continuation(LAUSD),Los Angeles Unified,12924 Oxnard St.,Jack London Continuation(LAUSD),Jack London Continuation,12924-oxnard-st-jack-london-continuation-,12924-oxnard-st-jack-london-continuation-,,False, 95.0
825,825,LAUSD,4443-live-oak-st-jaime-escalante-elementary-,4443 Live Oak St,323-890-2340,Jaime Escalante Elementary School,4443-live-oak-st-jaime-escalante-elementary-school,True,"[('4443 live oak st jaime escalante elementary', 95.0, '4443-live-oak-st-jaime-escalante-elementary-')]",1275,Jaime Escalante Elementary(LAUSD),Los Angeles Unified,4443 Live Oak St.,Jaime Escalante Elementary(LAUSD),Jaime Escalante Elementary,4443-live-oak-st-jaime-escalante-elementary-,4443-live-oak-st-jaime-escalante-elementary-,,False, 95.0
826,826,LAUSD,5101-east-sixth-st-james-a-garfield-senior-high-,5101 E 6th St,323-981-5500,James A Garfield Senior High,5101-e-6th-st-james-a-garfield-senior-high,True,"[('5101 east sixth st james a garfield senior high', 92.13483146067416, '5101-east-sixth-st-james-a-garfield-senior-high-')]",1276,James A. Garfield Senior High(LAUSD),Los Angeles Unified,5101 East Sixth St.,James A. Garfield Senior High(LAUSD),James A. Garfield Senior High,5101-east-sixth-st-james-a-garfield-senior-high-,5101-east-sixth-st-james-a-garfield-senior-high-,,False, 92.13483146067416
827,827,LAUSD,3960-centinela-ave-james-j-mcbride-special-education-center-,3960 Centinela Ave,310-391-0568,James J McBride Special Education Center,3960-centinela-ave-james-j-mcbride-special-education-center,True,"[('3960 centinela ave james j mcbride special education center', 100.0, '3960-centinela-ave-james-j-mcbride-special-education-center-')]",1277,James J. McBride Special Education Center(LAUSD),Los Angeles Unified,3960 Centinela Ave.,James J. McBride Special Education Center(LAUSD),James J. McBride Special Education Center,3960-centinela-ave-james-j-mcbride-special-education-center-,3960-centinela-ave-james-j-mcbride-special-education-center-,,False, 100.0
828,828,LAUSD,13000-hart-st-james-madison-middle-,13000 Hart St,818-255-5200,James Madison Middle School,13000-hart-st-james-madison-middle-school,True,"[('13000 hart st james madison middle', 95.0, '13000-hart-st-james-madison-middle-')]",1305,James Madison Middle(LAUSD),Los Angeles Unified,13000 Hart St.,James Madison Middle(LAUSD),James Madison Middle,13000-hart-st-james-madison-middle-,13000-hart-st-james-madison-middle-,,False, 95.0
829,829,LAUSD,13000-hart-st-james-madison-middle-,13000 Hart St,818-255-5200,James Madison Middle School Comp Sci/Eng Design Magnet,13000-hart-st-james-madison-middle-school-comp-sci/eng-design-magnet,True,"[('13000 hart st james madison middle', 90.0, '13000-hart-st-james-madison-middle-')]",1305,James Madison Middle(LAUSD),Los Angeles Unified,13000 Hart St.,James Madison Middle(LAUSD),James Madison Middle,13000-hart-st-james-madison-middle-,13000-hart-st-james-madison-middle-,,False, 90.0
830,830,LAUSD,13000-hart-st-james-madison-middle-,13000 Hart St,818-255-5200,James Madison Middle School Medical/Math/Science Magnet,13000-hart-st-james-madison-middle-school-medical/math/science-magnet,True,"[('13000 hart st james madison middle', 90.0, '13000-hart-st-james-madison-middle-')]",1305,James Madison Middle(LAUSD),Los Angeles Unified,13000 Hart St.,James Madison Middle(LAUSD),James Madison Middle,13000-hart-st-james-madison-middle-,13000-hart-st-james-madison-middle-,,False, 90.0
831,831,LAUSD,9229-haskell-ave-james-monroe-high-,9229 Haskell Ave,818-830-4200,James Monroe Senior High,9229-haskell-ave-james-monroe-senior-high,True,"[('9229 haskell ave james monroe high', 95.0, '9229-haskell-ave-james-monroe-high-')]",1306,James Monroe High(LAUSD),Los Angeles Unified,9229 Haskell Ave.,James Monroe High(LAUSD),James Monroe High,9229-haskell-ave-james-monroe-high-,9229-haskell-ave-james-monroe-high-,,False, 95.0
832,832,LAUSD,16341-donmetz-st-jane-addams-continuation-,16341 Donmetz St,818-271-2946,Jane Addams Continuation High,16341-donmetz-st-jane-addams-continuation-high,True,"[('16341 donmetz st jane addams continuation', 95.0, '16341-donmetz-st-jane-addams-continuation-')]",1307,Jane Addams Continuation(LAUSD),Los Angeles Unified,16341 Donmetz St.,Jane Addams Continuation(LAUSD),Jane Addams Continuation,16341-donmetz-st-jane-addams-continuation-,16341-donmetz-st-jane-addams-continuation-,,False, 95.0
833,833,LAUSD,8218-vanalden-ave-joaquin-miller-career-and-transition-center-,8218 Vanalden Ave,818-885-1646,Joaquin Miller Career and Transition Center,8218-vanalden-ave-joaquin-miller-career-and-transition-center,True,"[('8218 vanalden ave joaquin miller career and transition center', 100.0, '8218-vanalden-ave-joaquin-miller-career-and-transition-center-')]",1310,Joaquin Miller Career and Transition Center(LAUSD),Los Angeles Unified,8218 Vanalden Ave.,Joaquin Miller Career and Transition Center(LAUSD),Joaquin Miller Career and Transition Center,8218-vanalden-ave-joaquin-miller-career-and-transition-center-,8218-vanalden-ave-joaquin-miller-career-and-transition-center-,,False, 100.0
834,834,LAUSD,7330-winnetka-ave-john-a-sutter-middle-,7330 Winnetka Ave,818-773-5800,John A Sutter Middle School,7330-winnetka-ave-john-a-sutter-middle-school,True,"[('7330 winnetka ave john a sutter middle', 95.0, '7330-winnetka-ave-john-a-sutter-middle-')]",1311,John A. Sutter Middle(LAUSD),Los Angeles Unified,7330 Winnetka Ave.,John A. Sutter Middle(LAUSD),John A. Sutter Middle,7330-winnetka-ave-john-a-sutter-middle-,7330-winnetka-ave-john-a-sutter-middle-,,False, 95.0
835,835,LAUSD,7330-winnetka-ave-john-a-sutter-middle-,7330 Winnetka Ave,818-773-5800,John A Sutter Middle School STEAM Magnet,7330-winnetka-ave-john-a-sutter-middle-school-steam-magnet,True,"[('7330 winnetka ave john a sutter middle', 90.0, '7330-winnetka-ave-john-a-sutter-middle-')]",1311,John A. Sutter Middle(LAUSD),Los Angeles Unified,7330 Winnetka Ave.,John A. Sutter Middle(LAUSD),John A. Sutter Middle,7330-winnetka-ave-john-a-sutter-middle-,7330-winnetka-ave-john-a-sutter-middle-,,False, 90.0
836,836,LAUSD,151-west-30th-st-john-adams-middle-,151 W 30th St,213-745-3700,John Adams Middle School,151-w-30th-st-john-adams-middle-school,True,"[('151 west 30th st john adams middle', 87.46031746031746, '151-west-30th-st-john-adams-middle-')]",1312,John Adams Middle(LAUSD),Los Angeles Unified,151 West 30th St.,John Adams Middle(LAUSD),John Adams Middle,151-west-30th-st-john-adams-middle-,151-west-30th-st-john-adams-middle-,,False, 87.46031746031746
837,837,LAUSD,6051-bellaire-ave-john-b-monlux-elementary-,6051 Bellaire Ave,818-763-4693,John B Monlux Elementary,6051-bellaire-ave-john-b-monlux-elementary,True,"[('6051 bellaire ave john b monlux elementary', 100.0, '6051-bellaire-ave-john-b-monlux-elementary-')]",1313,John B. Monlux Elementary(LAUSD),Los Angeles Unified,6051 Bellaire Ave.,John B. Monlux Elementary(LAUSD),John B. Monlux Elementary,6051-bellaire-ave-john-b-monlux-elementary-,6051-bellaire-ave-john-b-monlux-elementary-,,False, 100.0
838,838,LAUSD,6051-bellaire-ave-john-b-monlux-elementary-,6051 Bellaire Ave,818-763-5071,John B Monlux Elementary Science/Tech/Math Magnet,6051-bellaire-ave-john-b-monlux-elementary-science/tech/math-magnet,True,"[('6051 bellaire ave john b monlux elementary', 90.0, '6051-bellaire-ave-john-b-monlux-elementary-')]",1313,John B. Monlux Elementary(LAUSD),Los Angeles Unified,6051 Bellaire Ave.,John B. Monlux Elementary(LAUSD),John B. Monlux Elementary,6051-bellaire-ave-john-b-monlux-elementary-,6051-bellaire-ave-john-b-monlux-elementary-,,False, 90.0
839,839,LAUSD,600-south-mccadden-pl-john-burroughs-middle-,600 S Mc Cadden Pl,323-549-5000,John Burroughs Middle School,600-s-mc-cadden-pl-john-burroughs-middle-school,True,"[('600 south mccadden pl john burroughs middle', 86.66666666666667, '600-south-mccadden-pl-john-burroughs-middle-')]",1314,John Burroughs Middle(LAUSD),Los Angeles Unified,600 South McCadden Pl.,John Burroughs Middle(LAUSD),John Burroughs Middle,600-south-mccadden-pl-john-burroughs-middle-,600-south-mccadden-pl-john-burroughs-middle-,,False, 86.66666666666667
